Level,Student count,Attendance points,Attendance goals,Points needed,Average points per student,"Attendance Goal
(per student)",Goal met
GAD,1,5,8,3,5,8,62.50%
GPD,1,0,8,8,0,8,0.00%
IAG,3,1,24,23,0.333333333,8,4.17%
ISN,1,9,8,0,9,8,100.00%
